"","Cell","Paper","Title","Supporting.Table","Column","Gene.Set.Size","Overlap","Odds","P.Value","Adj.P.Value","Id","duplicate_count"
"2291","CD8 TEM","PMC8125900","Longitudinal analysis reveals that delayed bystander CD8+ T cell activation and early immune pathology distinguish severe COVID-19 from mild disease","mmc2.csv","Unnamed_13",115,33,6.17,1.04e-17,8.05e-15,"mmc2.csv $ Unnamed_13",1
"2292","CD4 TCM","PMC7405822","Severe COVID-19 Is Marked by a Dysregulated Myeloid Cell Compartment","mmc4.xlsx","FigS3A-Unnamed_7",1635,176,1.88,9.87e-18,8.06e-15,"mmc4 $ FigS3A-Unnamed_7",5
"2293","CD4 TCM","PMC7405822","Severe COVID-19 Is Marked by a Dysregulated Myeloid Cell Compartment","mmc4.xlsx","FigS3A-Marker_genes_for_Cohort_1_monocyte_clusters",1635,176,1.88,9.87e-18,8.06e-15,"mmc4 $ FigS3A-Marker_genes_for_Cohort_1_monocyte_clusters",5
"2294","CD14 Mono","PMC9867739","Epigenomic charting and functional annotation of risk loci in renal cell carcinoma","41467_2023_35833_MOESM27_ESM.xlsx","Supplementary_Data_24-Unnamed_2",1453,120,2.27,3.52e-18,8.07e-15,"41467_2023_35833_MOESM27_ESM $ Supplementary_Data_24-Unnamed_2",1
"2295","CD8 TEM","PMC6462079","Risk variants disrupting enhancers of TH1 and TREG cells in type 1 diabetes","pnas.1815336116.sd07.xlsx","All-Unnamed_3",1822,164,1.93,1.05e-17,8.11e-15,"pnas.1815336116.sd07 $ All-Unnamed_3",3
"2296","CD4 TCM","PMC10204220","ScRNA-seq revealed an immunosuppression state and tumor microenvironment heterogeneity related to lymph node metastasis in prostate cancer","40164_2023_407_MOESM19_ESM.csv","Unnamed_0",760,105,2.42,9.95e-18,8.12e-15,"40164_2023_407_MOESM19_ESM.csv $ Unnamed_0",3
"2297","CD16 Mono","PMC9377018","Alveolar macrophages in early stage COPD show functional deviations with properties of impaired immune activation","Table_5.xlsx","intermediate_MФ-Genes",1040,86,2.77,3.3e-18,8.15e-15,"Table_5 $ intermediate_MФ-Genes",1
"2298","CD4 TCM","PMC8758144","Robust T cell activation requires an eIF3-driven burst in T cell receptor translation","elife-74272-supp5.xlsx","EIF3A_C_B_TR_100_repl_1-GeneName",1028,128,2.18,1.03e-17,8.37e-15,"elife-74272-supp5 $ EIF3A_C_B_TR_100_repl_1-GeneName",5
"2299","CD8 TEM","PMC9759758","Radioimmunotherapy‐induced intratumoral changes in cervical squamous cell carcinoma at single‐cell resolution","CAC2-42-1407-s002.xlsx","Supplementary_Table_4-Unnamed_7",1369,135,2.12,1.08e-17,8.38e-15,"CAC2-42-1407-s002 $ Supplementary_Table_4-Unnamed_7",3
"2300","CD8 TEM","PMC9759758","Radioimmunotherapy‐induced intratumoral changes in cervical squamous cell carcinoma at single‐cell resolution","CAC2-42-1407-s002.xlsx","Supplementary_Table_4-Supplementary_Table_4_Differentially_expressed_genes_of_T_and_NK_subclusters",1369,135,2.12,1.08e-17,8.38e-15,"CAC2-42-1407-s002 $ Supplementary_Table_4-Supplementary_Table_4_Differentially_expressed_genes_of_T_and_NK_subclusters",3
"2301","CD16 Mono","PMC9800604","Dissecting CD8+ T cell pathology of severe SARS-CoV-2 infection by single-cell immunoprofiling","Table_2.xlsx","DEGs_CD8__NK_TEMRA-CD8_NK-like_TEMRA_cells",2162,136,2.11,3.44e-18,8.45e-15,"Table_2 $ DEGs_CD8__NK_TEMRA-CD8_NK-like_TEMRA_cells",4
"2302","CD14 Mono","PMC8298514","Oncogenic enhancers drive esophageal squamous cell carcinogenesis and metastasis","41467_2021_24813_MOESM7_ESM.xlsx","SE_in_Nor-SYMBOL",351,52,4.08,3.76e-18,8.59e-15,"41467_2021_24813_MOESM7_ESM $ SE_in_Nor-SYMBOL",1
"2303","CD8 TEM","PMC5953555","GRID-seq reveals the global RNA-chromatin interactome","NIHMS901250-supplement-dataset_1.xlsx","MM_1S-Unnamed_1",947,106,2.41,1.12e-17,8.62e-15,"NIHMS901250-supplement-dataset_1 $ MM_1S-Unnamed_1",3
"2304","CD8 TEM","PMC5953555","GRID-seq reveals the global RNA-chromatin interactome","NIHMS901250-supplement-dataset_2.xlsx","Sheet1-Unnamed_1",947,106,2.41,1.12e-17,8.62e-15,"NIHMS901250-supplement-dataset_2 $ Sheet1-Unnamed_1",3
"2305","CD8 TEM","PMC7993685","Phenotyping of immune and endometrial epithelial cells in endometrial carcinomas revealed by single-cell RNA sequencing","aging-13-202288-s002.xlsx","Treg_Tumor_vs_Para_DEGs-gene",435,66,3.26,1.12e-17,8.62e-15,"aging-13-202288-s002 $ Treg_Tumor_vs_Para_DEGs-gene",1
"2306","CD4 TCM","PMC10165782","Identification of potential resistance mechanisms and therapeutic targets for the relapse of BCMA CAR-T therapy in relapsed/refractory multiple myeloma through single-cell sequencing","40164_2023_402_MOESM7_ESM.csv","gene",1466,163,1.95,1.06e-17,8.66e-15,"40164_2023_402_MOESM7_ESM.csv $ gene",4
"2307","CD4 TCM","PMC10061728","CDK9 inhibition induces epigenetic reprogramming revealing strategies to circumvent resistance in lymphoma","12943_2023_1762_MOESM6_ESM.xlsx","OCILY3_ROSE2_baseline_SEs-OVERLAP_GENES",453,76,2.94,1.07e-17,8.68e-15,"12943_2023_1762_MOESM6_ESM $ OCILY3_ROSE2_baseline_SEs-OVERLAP_GENES",1
"2308","CD8 TEM","PMC9794516","Multi-OMICs landscape of SARS-CoV-2-induced host responses in human lung epithelial cells","mmc4.xlsx","K-means_clusters-GeneSymbol",2052,178,1.86,1.13e-17,8.72e-15,"mmc4 $ K-means_clusters-GeneSymbol",2
"2309","CD14 Mono","PMC9950534","Single-cell RNA sequencing identifies a population of human liver-type ILC1s","NIHMS1870503-supplement-2.xlsx","DEGs_cluster_batch_1-gene",1762,136,2.12,3.85e-18,8.78e-15,"NIHMS1870503-supplement-2 $ DEGs_cluster_batch_1-gene",6
"2310","CD4 TCM","PMC9853064","Single-cell transcriptomics reveals striking heterogeneity and functional organization of dendritic and monocytic cells in the bovine mesenteric lymph node","DataSheet_9.xlsx","mac_mon-gene",2043,206,1.77,1.08e-17,8.78e-15,"DataSheet_9 $ mac_mon-gene",3
"2311","CD4 TCM","PMC9853064","Single-cell transcriptomics reveals striking heterogeneity and functional organization of dendritic and monocytic cells in the bovine mesenteric lymph node","DataSheet_9.xlsx","mon_mac-gene",2043,206,1.77,1.08e-17,8.78e-15,"DataSheet_9 $ mon_mac-gene",3
"2312","CD8 TEM","PMC6972755","Recurrent pregnancy loss is associated with a pro-senescent decidual response during the peri-implantation window","42003_2020_763_MOESM3_ESM.xlsx","Supplementary_Data_5-Supplementary_Data_5_Marker_genes_of_endometrial_cell_types_and_subsets",1954,172,1.89,1.17e-17,8.98e-15,"42003_2020_763_MOESM3_ESM $ Supplementary_Data_5-Supplementary_Data_5_Marker_genes_of_endometrial_cell_types_and_subsets",1
"2313","CD8 TEM","PMC8520710","Ectopic cervical thymi and no thymic involution until midlife in naked mole rats","ACEL-20-e13477-s003.xlsx","Markers_Mouse_Thy-gene",1744,159,1.96,1.17e-17,9.02e-15,"ACEL-20-e13477-s003 $ Markers_Mouse_Thy-gene",3
"2314","CD4 TCM","PMC5591311","Monitoring storage induced changes in the platelet proteome employing label free quantitative mass spectrometry","41598_2017_11643_MOESM2_ESM.xlsx","Supplementary_table_S1-Unnamed_3",2381,230,1.69,1.11e-17,9.03e-15,"41598_2017_11643_MOESM2_ESM $ Supplementary_table_S1-Unnamed_3",2
"2315","CD4 TCM","PMC10559536","Mapping the epigenomic landscape of human monocytes following innate immune activation reveals context-specific mechanisms driving endotoxin tolerance","12864_2023_9663_MOESM2_ESM.xlsx","lps24vsUT-ensembl_gene_id",1784,187,1.84,1.12e-17,9.04e-15,"12864_2023_9663_MOESM2_ESM $ lps24vsUT-ensembl_gene_id",3
"2316","CD8 TEM","PMC8079812","Single-Cell RNA Sequencing Analysis of the Immunometabolic Rewiring and Immunopathogenesis of Coronavirus Disease 2019","DataSheet_2.xlsx","Table_S7-Gene",1401,137,2.1,1.2e-17,9.18e-15,"DataSheet_2 $ Table_S7-Gene",5
"2317","CD8 TEM","PMC7321885","Intratumoral CD4+ T Cells Mediate Anti-tumor Cytotoxicity in Human Bladder Cancer","mmc2.xlsx","CD8FGFBP2-names",976,108,2.38,1.21e-17,9.24e-15,"mmc2 $ CD8FGFBP2-names",3
"2318","CD8 TEM","PMC5340966","Evolution of transcript modification by N6-methyladenosine in primates","supp_gr.212563.116_Supplemental_Table_S9.xlsx","sTable9_ConservedPeaks-Symbol",2103,181,1.85,1.21e-17,9.24e-15,"supp_gr.212563.116_Supplemental_Table_S9 $ sTable9_ConservedPeaks-Symbol",3
"2319","CD4 TCM","PMC8393766","Betamethasone administration during pregnancy is associated with placental epigenetic changes with implications for inflammation","13148_2021_1153_MOESM8_ESM.xlsx","Table_S5-Unnamed_4",1704,181,1.86,1.15e-17,9.29e-15,"13148_2021_1153_MOESM8_ESM $ Table_S5-Unnamed_4",1
"2320","CD16 Mono","PMC9152104","Cellular and immunometabolic mechanisms of inflammation in depression: Preliminary findings from single cell RNA sequencing and a tribute to Bruce McEwen","mmc2.xlsx","Table_S1B_Markers_per_cluster-Gene",1854,123,2.22,3.81e-18,9.33e-15,"mmc2 $ Table_S1B_Markers_per_cluster-Gene",3
"2321","CD8 TEM","PMC9271696","Revealing the Key MSCs Niches and Pathogenic Genes in Influencing CEP Homeostasis: A Conjoint Analysis of Single-Cell and WGCNA","Table_2.xlsx","Blood_cell-p_val",1148,120,2.25,1.23e-17,9.39e-15,"Table_2 $ Blood_cell-p_val",4
"2322","CD8 TEM","PMC9271696","Revealing the Key MSCs Niches and Pathogenic Genes in Influencing CEP Homeostasis: A Conjoint Analysis of Single-Cell and WGCNA","Table_2.xlsx","Blood_cell-entrezID",1148,120,2.25,1.23e-17,9.39e-15,"Table_2 $ Blood_cell-entrezID",4
"2323","CD4 TCM","PMC9279502","Integration of tumor extrinsic and intrinsic features associates with immunotherapy response in non-small cell lung cancer","41467_2022_31769_MOESM6_ESM.xlsx","Fig_S9A-names",673,97,2.52,1.17e-17,9.41e-15,"41467_2022_31769_MOESM6_ESM $ Fig_S9A-names",2
"2324","CD4 TCM","PMC8989655","Type I Interferon Transcriptional Network Regulates Expression of Coinhibitory Receptors in Human T cells","NIHMS1777806-supplement-Source_Data_Fig__2.xlsx","Figure_2a-Unnamed_10",1691,180,1.86,1.17e-17,9.46e-15,"NIHMS1777806-supplement-Source_Data_Fig__2 $ Figure_2a-Unnamed_10",4
"2325","CD4 TCM","PMC6430658","A chemoproteomic portrait of the oncometabolite fumarate","NIHMS1515442-supplement-Sup_Table_4.xlsx","Raw_fumarate_data-SYMBOL",2142,213,1.74,1.18e-17,9.51e-15,"NIHMS1515442-supplement-Sup_Table_4 $ Raw_fumarate_data-SYMBOL",1
"2326","NK","PMC9204588","CCL5-Secreting Virtual Memory CD8+ T Cells Inversely Associate With Viral Reservoir Size in HIV‐1−Infected Individuals on Antiretroviral Therapy","DataSheet_1.csv","gene",1339,101,2.54,1.17e-18,9.52e-15,"DataSheet_1.csv $ gene",4
"2327","CD4 TCM","PMC10559536","Mapping the epigenomic landscape of human monocytes following innate immune activation reveals context-specific mechanisms driving endotoxin tolerance","12864_2023_9663_MOESM2_ESM.xlsx","lps24vsUT-hgnc_symbol",1785,187,1.83,1.19e-17,9.53e-15,"12864_2023_9663_MOESM2_ESM $ lps24vsUT-hgnc_symbol",3
"2328","CD16 Mono","PMC5490191","Attenuation of RNA polymerase II pausing mitigates BRCA1-associated R-loop accumulation and tumorigenesis","ncomms15908-s2.xlsx","genes-Unnamed_13",2141,135,2.11,3.92e-18,9.56e-15,"ncomms15908-s2 $ genes-Unnamed_13",1
"2329","CD4 TCM","PMC7244544","N6-methyladenosine regulates glycolysis of cancer cells through PDK4","41467_2020_16306_MOESM5_ESM.xlsx","Sheet1-m6A-seq_2",1962,200,1.78,1.19e-17,9.56e-15,"41467_2020_16306_MOESM5_ESM $ Sheet1-m6A-seq_2",1
"2330","CD4 TCM","PMC10588020","Dual spatially resolved transcriptomics for human host–pathogen colocalization studies in FFPE tissue sections","13059_2023_3080_MOESM10_ESM.xlsx","cluster3-Unnamed_1",1678,179,1.87,1.2e-17,9.6e-15,"13059_2023_3080_MOESM10_ESM $ cluster3-Unnamed_1",2
"2331","CD14 Mono","PMC7704697","A molecular cell atlas of the human lung from single cell RNA sequencing","NIHMS1624031-supplement-1624031_Supp_Tab4.xlsx","Cluster_52_SS2-IGSF21_Dendritic",2146,155,1.99,4.26e-18,9.67e-15,"NIHMS1624031-supplement-1624031_Supp_Tab4 $ Cluster_52_SS2-IGSF21_Dendritic",1
"2332","CD8 TEM","PMC3419980","Depletion of RUNX1/ETO in t(8;21) AML cells leads to genome-wide changes in chromatin structure and transcription factor binding","leu201249x3.xls","genes_list_all-All_genes_in_patients_A_B",1972,173,1.89,1.27e-17,9.67e-15,"leu201249x3 $ genes_list_all-All_genes_in_patients_A_B",4
"2333","CD14 Mono","PMC4402532","Epstein–Barr virus transcription factor Zta acts through distal regulatory elements to directly control cellular gene expression","supp_gkv212_nar-03402-v-2014-File004.xlsx","supp_table_1-genes_with_Zta_binding_peak",1943,145,2.05,4.29e-18,9.7e-15,"supp_gkv212_nar-03402-v-2014-File004 $ supp_table_1-genes_with_Zta_binding_peak",2
"2334","CD4 TCM","PMC9461475","Recurrent noncoding somatic and germline WT1 variants converge to disrupt MYB binding in acute promyelocytic leukemia","10.1182","2021014945_bloodbld2021014945-suppl2.xlsx-Table_S6-Unnamed_6",1378,156,1.98,1.22e-17,9.77e-15,"10.1182 $ 2021014945_bloodbld2021014945-suppl2-Table_S6-Unnamed_6",2
"2335","CD4 TCM","PMC9461475","Recurrent noncoding somatic and germline WT1 variants converge to disrupt MYB binding in acute promyelocytic leukemia","bloodBLD2021014945-suppl2.xlsx","Table_S6-Unnamed_6",1378,156,1.98,1.22e-17,9.77e-15,"bloodBLD2021014945-suppl2 $ Table_S6-Unnamed_6",2
"2336","CD8 TEM","PMC9621145","Immune dysfunction signatures predict outcomes and define checkpoint blockade–unresponsive microenvironments in acute myeloid leukemia","jci-132-159579-s174.xlsx","Supplementary_Table_2-Table_S2_Gene_signatures_generated_in_the_study",172,40,5,1.29e-17,9.85e-15,"jci-132-159579-s174 $ Supplementary_Table_2-Table_S2_Gene_signatures_generated_in_the_study",1
"2337","CD14 Mono","PMC10151360","Transcriptomic analysis of B cells suggests that CD70 and LY9 may be novel features in patients with systemic lupus erythematosus","mmc8.xlsx","DEGs_of_HC_PBMC-gene",2481,171,1.9,4.38e-18,9.88e-15,"mmc8 $ DEGs_of_HC_PBMC-gene",5
"2338","CD14 Mono","PMC7925689","Multi-omics analysis reveals contextual tumor suppressive and oncogenic gene modules within the acute hypoxic response","41467_2021_21687_MOESM6_ESM.xlsx","A_HCT116_peaks-Unnamed_8",1648,130,2.17,4.44e-18,9.99e-15,"41467_2021_21687_MOESM6_ESM $ A_HCT116_peaks-Unnamed_8",1
"2339","CD16 Mono","PMC9745782","Single-cell analyses reveal the therapeutic effects of ATHENA and its mechanism in a rhabdomyosarcoma patient","DataSheet_5.xlsx","GSEA_scSTAR-C3_Myeloid-Unnamed_1",458,54,3.95,4.11e-18,1e-14,"DataSheet_5 $ GSEA_scSTAR-C3_Myeloid-Unnamed_1",1
"2340","CD4 TCM","PMC9296597","Single-cell multiomics analysis reveals regulatory programs in clear cell renal cell carcinoma","41421_2022_415_MOESM4_ESM.xlsx","Treg-gene",525,83,2.77,1.25e-17,1e-14,"41421_2022_415_MOESM4_ESM $ Treg-gene",1
"2341","CD8 TEM","PMC10352330","Context-defined cancer co-dependency mapping identifies a functional interplay between PRC2 and MLL-MEN1 complex in lymphoma","41467_2023_39990_MOESM6_ESM.xlsx","Fig_S7d-Unnamed_20",1973,173,1.88,1.33e-17,1.01e-14,"41467_2023_39990_MOESM6_ESM $ Fig_S7d-Unnamed_20",6
"2342","CD16 Mono","PMC10119302","Anti-PD-1 therapy achieves favorable outcomes in HBV-positive non-liver cancer","41389_2023_468_MOESM8_ESM.xlsx","Table_S7-Unnamed_9",2464,148,2.01,4.21e-18,1.02e-14,"41389_2023_468_MOESM8_ESM $ Table_S7-Unnamed_9",6
"2343","CD16 Mono","PMC9174272","Single-cell RNA-sequencing of peripheral blood mononuclear cells reveals widespread, context-specific gene expression regulation upon pathogenic exposure","41467_2022_30893_MOESM8_ESM.xlsx","NK-Gene_symbol",1951,127,2.18,4.26e-18,1.03e-14,"41467_2022_30893_MOESM8_ESM $ NK-Gene_symbol",4
"2344","CD8 TEM","PMC9877466","Associative analysis of multi-omics data indicates that acetylation modification is widely involved in cigarette smoke-induced chronic obstructive pulmonary disease","Table_5.XLSX","Sheet1-gene",2375,197,1.78,1.37e-17,1.04e-14,"Table_5.XLSX $ Sheet1-gene",3
"2345","CD8 TEM","PMC4924651","Comparative analysis of human and mouse transcriptomes of Th17 cell priming","oncotarget-07-13416-s005.xlsx","Human_all_time_points-Unnamed_0",964,107,2.39,1.4e-17,1.06e-14,"oncotarget-07-13416-s005 $ Human_all_time_points-Unnamed_0",1
"2346","CD16 Mono","PMC10011423","Placental cell type deconvolution reveals that cell proportions drive preeclampsia gene expression differences","42003_2023_4623_MOESM5_ESM.xlsx","Fetal_CD14_Monocytes-Gene",735,70,3.19,4.44e-18,1.07e-14,"42003_2023_4623_MOESM5_ESM $ Fetal_CD14_Monocytes-Gene",2
"2347","CD8 TEM","PMC9396248","Intestinal single-cell atlas reveals novel lymphocytes in pigs with similarities to human cells","LSA-2022-01442_TableS4.xlsx","multidim_DGE-gene",605,80,2.84,1.41e-17,1.07e-14,"LSA-2022-01442_TableS4 $ multidim_DGE-gene",1
"2348","CD14 Mono","PMC9013654","Immune features of COVID-19 convalescent individuals revealed by a single-cell RNA sequencing","mmc5.xlsx","19-gene",1148,103,2.47,4.8e-18,1.08e-14,"mmc5 $ 19-gene",3
"2349","CD14 Mono","PMC8386078","Acute depletion of CTCF rewires genome-wide chromatin accessibility","13059_2021_2466_MOESM5_ESM.xlsx","InsulatorTargets-Unnamed_20",2108,153,2,4.85e-18,1.08e-14,"13059_2021_2466_MOESM5_ESM $ InsulatorTargets-Unnamed_20",2
"2350","CD8 TEM","PMC9122264","Multimodal profiling of lung granulomas in macaques reveals cellular correlates of tuberculosis control","mmc5.xlsx","T1T17_Subpop_3-Gene_ID",403,63,3.36,1.43e-17,1.08e-14,"mmc5 $ T1T17_Subpop_3-Gene_ID",1
"2351","CD14 Mono","PMC7924267","A single-cell and spatial atlas of autopsy tissues reveals pathology and cellular targets of SARS-CoV-2","media-18.xlsx","up_M1-feature",1966,146,2.04,4.89e-18,1.09e-14,"media-18 $ up_M1-feature",3
"2352","CD16 Mono","PMC8594918","Intraocular dendritic cells characterize HLA-B27-associated acute anterior uveitis","elife-67396-supp1.xlsx","1e-Supplementary_File_1e_List_of_DE_genes_per_meta_cluster_in_Figure_3",1788,120,2.25,4.53e-18,1.09e-14,"elife-67396-supp1 $ 1e-Supplementary_File_1e_List_of_DE_genes_per_meta_cluster_in_Figure_3",3
"2353","CD4 Naive","PMC10570335","Fertility-preserving myeloablative conditioning using single-dose CD117 antibody-drug conjugate in a rhesus gene therapy model","41467_2023_41153_MOESM3_ESM.xlsx","Supplementary_figure_6-Unnamed_27",1584,139,2.15,6.58e-19,1.1e-14,"41467_2023_41153_MOESM3_ESM $ Supplementary_figure_6-Unnamed_27",1
"2354","CD8 TEM","PMC7982650","Leveraging Single-Cell RNA-seq Data to Uncover the Association Between Cell Type and Chronic Liver Diseases","Data_Sheet_2.xlsx","Table_S5-Unnamed_5",1748,159,1.96,1.46e-17,1.1e-14,"Data_Sheet_2 $ Table_S5-Unnamed_5",1
"2355","CD4 TCM","PMC7607866","DNA hydroxymethylation is associated with disease severity and persists at enhancers of oncogenic regions in multiple myeloma","13148_2020_953_MOESM1_ESM.xls","2_5hmC_regions_scores-genes",1291,149,2.02,1.4e-17,1.11e-14,"13148_2020_953_MOESM1_ESM $ 2_5hmC_regions_scores-genes",1
"2356","CD8 TEM","PMC9288051","Super-enhancer profiling identifies novel critical and targetable cancer survival gene LYL1 in pediatric acute myeloid leukemia","13046_2022_2428_MOESM4_ESM.xlsx","Super_enhancers_in_AML4-CLOSEST_GENE",656,84,2.75,1.47e-17,1.11e-14,"13046_2022_2428_MOESM4_ESM $ Super_enhancers_in_AML4-CLOSEST_GENE",4
"2357","CD8 TEM","PMC9464213","Functional genomics uncovers the transcription factor BNC2 as required for myofibroblastic activation in fibrosis","41467_2022_33063_MOESM4_ESM.xls","Genes_in_3_clusters-Unnamed_2",827,97,2.52,1.48e-17,1.11e-14,"41467_2022_33063_MOESM4_ESM $ Genes_in_3_clusters-Unnamed_2",1
"2358","CD14 Mono","PMC9008048","PD-L1 and ICOSL discriminate human Secretory and Helper dendritic cells in cancer, allergy and autoimmunity","41467_2022_29516_MOESM20_ESM.xlsx","Sheet1-ScRNAseq_Luminal_Breast_Cancer_DEG_per_cluster",1768,136,2.12,5.14e-18,1.14e-14,"41467_2022_29516_MOESM20_ESM $ Sheet1-ScRNAseq_Luminal_Breast_Cancer_DEG_per_cluster",4
"2359","CD8 TEM","PMC5953555","GRID-seq reveals the global RNA-chromatin interactome","NIHMS901250-supplement-dataset_1.xlsx","MM_1S-Supplemenatry_Table_1_GRID-seq_Enriched_RNA_on_Chromatin_from_Two_Human_Cell_Lines_One_Mouse_ES_Cell_Line_and_One_Drosophila_Cell_Line",951,106,2.4,1.51e-17,1.14e-14,"NIHMS901250-supplement-dataset_1 $ MM_1S-Supplemenatry_Table_1_GRID-seq_Enriched_RNA_on_Chromatin_from_Two_Human_Cell_Lines_One_Mouse_ES_Cell_Line_and_One_Drosophila_Cell_Line",3
"2360","CD8 TEM","PMC5953555","GRID-seq reveals the global RNA-chromatin interactome","NIHMS901250-supplement-dataset_2.xlsx","Sheet1-Supplementary_Table_2_GRID-seq_Deduced_Promoter-Enhancer_Interactions_in_MM_1S_Cells",951,106,2.4,1.51e-17,1.14e-14,"NIHMS901250-supplement-dataset_2 $ Sheet1-Supplementary_Table_2_GRID-seq_Deduced_Promoter-Enhancer_Interactions_in_MM_1S_Cells",3
"2361","CD14 Mono","PMC9497456","Identification of macrophage correlated biomarkers to predict the prognosis in patients with intrahepatic cholangiocarcinoma","DataSheet_3.csv","gene",1498,122,2.24,5.19e-18,1.15e-14,"DataSheet_3.csv $ gene",3
"2362","CD14 Mono","PMC5339410","Transcriptome Analysis of Monozygotic Twin Brothers with Childhood Primary Myelofibrosis","mmc3.xlsx","Table_S3-Unnamed_19",2443,169,1.9,5.23e-18,1.15e-14,"mmc3 $ Table_S3-Unnamed_19",3
"2363","CD16 Mono","PMC9509553","Longitudinal multi-omics analysis identifies early blood-based predictors of anti-TNF therapy response in inflammatory bowel disease","13073_2022_1112_MOESM1_ESM.xlsx","Table_S6-Unnamed_1",1233,95,2.58,4.81e-18,1.15e-14,"13073_2022_1112_MOESM1_ESM $ Table_S6-Unnamed_1",3
"2364","CD8 TEM","PMC8045971","Non-Genomic AhR-Signaling Modulates the Immune Response in Endotoxin-Activated Macrophages After Activation by the Environmental Stressor BaP","Table_3.xlsx","vs_DMSO_ctrl-Unnamed_4",2225,188,1.82,1.53e-17,1.15e-14,"Table_3 $ vs_DMSO_ctrl-Unnamed_4",4
"2365","CD8 TEM","PMC7744012","Cell-Type-Specific Immune Dysregulation in Severely Ill COVID-19 Patients","mmc7.xlsx","Table_6_1_Total_CD4_T_cells_DEG-Table_6_1_Differentially_expressed_genes_in_total_CD4_T_cells_between_patient_groups",814,96,2.53,1.54e-17,1.15e-14,"mmc7 $ Table_6_1_Total_CD4_T_cells_DEG-Table_6_1_Differentially_expressed_genes_in_total_CD4_T_cells_between_patient_groups",1
"2366","CD4 TCM","PMC4636226","T Cell Transcriptomes Describe Patient Subtypes in Systemic Lupus Erythematosus","pone.0141171.s005.xls","results_0_01_AB_ENSG-CONAvBC_f",1775,186,1.83,1.45e-17,1.16e-14,"pone.0141171.s005 $ results_0_01_AB_ENSG-CONAvBC_f",2
"2367","CD8 TEM","PMC5289937","HIV-1 Activates T Cell Signaling Independently of Antigen to Drive Viral Spread","mmc3.xlsx","S2-6-Unnamed_2",1436,139,2.08,1.56e-17,1.17e-14,"mmc3 $ S2-6-Unnamed_2",1
"2368","CD14 Mono","PMC9618568","Defining cellular complexity in human autosomal dominant polycystic kidney disease by multimodal single cell analysis","41467_2022_34255_MOESM11_ESM.xlsx","LEUK-Unnamed_0",2276,161,1.95,5.46e-18,1.2e-14,"41467_2022_34255_MOESM11_ESM $ LEUK-Unnamed_0",1
"2369","CD16 Mono","PMC9718398","Systematic proximal mapping of the classical RAD51 paralogs unravel functionally and clinically relevant interactors for genome stability","pgen.1010495.s014.xlsx","RAD51C_BioID_HU-PreyGene",2344,143,2.04,5.04e-18,1.2e-14,"pgen.1010495.s014 $ RAD51C_BioID_HU-PreyGene",1
"2370","CD16 Mono","PMC9509553","Longitudinal multi-omics analysis identifies early blood-based predictors of anti-TNF therapy response in inflammatory bowel disease","13073_2022_1112_MOESM1_ESM.xlsx","Table_S6-Table_S6_Comparison_of_DEGs_in_patients_who_did_not_attain_remission_at_week_14_between_discovery_and_replication_cohorts",1234,95,2.58,5.08e-18,1.2e-14,"13073_2022_1112_MOESM1_ESM $ Table_S6-Table_S6_Comparison_of_DEGs_in_patients_who_did_not_attain_remission_at_week_14_between_discovery_and_replication_cohorts",3
"2371","CD8 TEM","PMC10577904","Single-cell RNA sequencing distinctly characterizes the wide heterogeneity in pediatric mixed phenotype acute leukemia","13073_2023_1241_MOESM1_ESM.xlsx","Table_S4-biomarkers-Table_S4_MPAL_subtype_blast_biomarker_genes_The_table_list_the_gene_after_each_filtering_step_described_in_Additional_File_2_Fig_S1",1794,161,1.94,1.61e-17,1.21e-14,"13073_2023_1241_MOESM1_ESM $ Table_S4-biomarkers-Table_S4_MPAL_subtype_blast_biomarker_genes_The_table_list_the_gene_after_each_filtering_step_described_in_Additional_File_2_Fig_S1",4
"2372","CD8 TEM","PMC9296597","Single-cell multiomics analysis reveals regulatory programs in clear cell renal cell carcinoma","41421_2022_415_MOESM4_ESM.xlsx","NK_NKT_cell-gene",349,58,3.57,1.62e-17,1.21e-14,"41421_2022_415_MOESM4_ESM $ NK_NKT_cell-gene",2
"2373","CD4 TCM","PMC8393766","Betamethasone administration during pregnancy is associated with placental epigenetic changes with implications for inflammation","13148_2021_1153_MOESM8_ESM.xlsx","Table_S5-Table_S5_Co-expressed_genes_in_the_turquoise_WGCNA_module_and_association_with_cg22363520",1709,181,1.85,1.55e-17,1.23e-14,"13148_2021_1153_MOESM8_ESM $ Table_S5-Table_S5_Co-expressed_genes_in_the_turquoise_WGCNA_module_and_association_with_cg22363520",1
"2374","CD8 TEM","PMC7646563","An atlas of immune cell exhaustion in HIV-infected individuals revealed by single-cell transcriptomics","TEMI_A_1826361_SM3404.xlsx","CD14_mono-Unnamed_0",1514,144,2.04,1.65e-17,1.23e-14,"TEMI_A_1826361_SM3404 $ CD14_mono-Unnamed_0",4
"2375","CD4 TCM","PMC8042271","Disparate Interferon Signaling and Shared Aberrant Basaloid Cells in Single-Cell Profiling of Idiopathic Pulmonary Fibrosis and Systemic Sclerosis-Associated Interstitial Lung Disease","Table_1.xlsx","T_Regulatory_IPFVSSC-Unnamed_0",1180,140,2.08,1.56e-17,1.24e-14,"Table_1 $ T_Regulatory_IPFVSSC-Unnamed_0",2
