Cell,Feature,p value,adjusted p value
CD4 TCM,RNF126,9.26984E-17,4.89237E-15
CD4 TCM,PEA15,9.42091E-17,4.95005E-15
CD4 TCM,LOC340357,9.42091E-17,4.95005E-15
CD4 TCM,ACADS,1.00299E-16,5.25839E-15
CD4 TCM,ARRDC1,1.29288E-16,6.76323E-15
CD4 TCM,SNRPG,1.5364E-16,8.01942E-15
CD4 TCM,FAM189B,1.67786E-16,8.73851E-15
CD4 TCM,PDK1,1.70314E-16,8.85073E-15
CD4 TCM,LIN54,1.85628E-16,9.62542E-15
CD4 TCM,CHIC2,1.86642E-16,9.65687E-15
CD4 TCM,APOBR,2.03408E-16,1.05014E-14
CD4 TCM,DHRS4,2.07864E-16,1.07081E-14
CD4 TCM,GMCL1,2.79765E-16,1.43809E-14
CD4 TCM,GSN,2.80836E-16,1.44047E-14
CD4 TCM,ZBED2,2.90941E-16,1.48908E-14
CD4 TCM,SPATA2L,3.10333E-16,1.58491E-14
CD4 TCM,CFAP99,3.30465E-16,1.68409E-14
CD4 TCM,RNVU1-7,3.43927E-16,1.74894E-14
CD4 TCM,RAB33B,3.63693E-16,1.84549E-14
CD4 TCM,RAB35,3.67533E-16,1.86099E-14
CD4 TCM,ZC3H8,3.6894E-16,1.86413E-14
CD4 TCM,CNIH2,5.66445E-16,2.85597E-14
CD4 TCM,GRASP,5.84345E-16,2.93996E-14
CD4 TCM,POLR2B,6.3569E-16,3.19151E-14
CD4 TCM,CCAR2,6.4298E-16,3.22129E-14
CD4 TCM,DCAF5,6.64838E-16,3.32377E-14
CD4 TCM,MAF,7.40507E-16,3.69427E-14
CD4 TCM,SMAD7,7.73863E-16,3.85257E-14
CD4 TCM,VGLL4,7.98072E-16,3.96476E-14
CD4 TCM,THAP9,1.01652E-15,5.03945E-14
CD4 TCM,AKAP13,1.02409E-15,5.06634E-14
CD4 TCM,TSPAN14,1.08538E-15,5.35838E-14
CD4 TCM,LOC101927322,1.10061E-15,5.42226E-14
CD4 TCM,TET3,1.15903E-15,5.69825E-14
CD4 TCM,TIGD5,1.2621E-15,6.19213E-14
CD4 TCM,MAPKAPK2,1.46942E-15,7.19439E-14
CD4 TCM,MAP4K4,1.5877E-15,7.75748E-14
CD4 TCM,SRSF9,1.63903E-15,7.9918E-14
CD4 TCM,RAI1,1.66427E-15,8.0982E-14
CD4 TCM,HMMR,1.78138E-15,8.6503E-14
CD4 TCM,GNA12,1.96336E-15,9.51445E-14
CD4 TCM,FBXO48,1.9785E-15,9.56827E-14
CD4 TCM,SNUPN,2.62734E-15,1.26803E-13
CD4 TCM,AP5Z1,3.07088E-15,1.47908E-13
CD4 TCM,MARCH7,3.19479E-15,1.53564E-13
CD4 TCM,RALGDS,3.29541E-15,1.5808E-13
CD4 TCM,ATP2A2,3.59155E-15,1.71938E-13
CD4 TCM,GPI,4.21894E-15,2.01565E-13
CD4 TCM,POLD1,4.33433E-15,2.06661E-13
CD4 TCM,DRAIC,4.80794E-15,2.28783E-13
CD4 TCM,BAP1,6.94428E-15,3.29777E-13
CD4 TCM,IL19,7.03265E-15,3.33306E-13
CD4 TCM,REV1,7.71849E-15,3.64353E-13
CD4 TCM,NKTR,7.71849E-15,3.64353E-13
CD4 TCM,LRIG1,8.68041E-15,4.08946E-13
CD4 TCM,TMEM163,9.5816E-15,4.50506E-13
CD4 TCM,LLGL2,1.03237E-14,4.84437E-13
CD4 TCM,TBC1D10A,1.04836E-14,4.90969E-13
CD4 TCM,RCC2,1.07933E-14,5.04475E-13
CD4 TCM,LETMD1,1.09653E-14,5.11506E-13
CD4 TCM,OSTM1,1.1158E-14,5.19471E-13
CD4 TCM,DDIT4,1.66819E-14,7.75119E-13
CD4 TCM,ZNF337,1.85494E-14,8.60207E-13
CD4 TCM,NR1D1,1.9902E-14,9.2113E-13
CD4 TCM,NSD3,2.17841E-14,1.00627E-12
CD4 TCM,ZNF671,2.33334E-14,1.07574E-12
CD4 TCM,PAG1,2.35062E-14,1.08161E-12
CD4 TCM,B4GALT1,2.37228E-14,1.08945E-12
CD4 TCM,DAD1,2.47829E-14,1.13594E-12
CD4 TCM,MIR6747,2.71892E-14,1.24383E-12
CD4 TCM,ENO2,2.75932E-14,1.25987E-12
CD4 TCM,RPL18A,3.00465E-14,1.36925E-12
CD4 TCM,PDXDC1,3.39134E-14,1.54251E-12
CD4 TCM,BCL2L14,4.05746E-14,1.84195E-12
CD4 TCM,MCM9,4.24217E-14,1.92212E-12
CD4 TCM,EIF3G,4.44856E-14,2.01179E-12
CD4 TCM,VPS18,4.58224E-14,2.06829E-12
CD4 TCM,SLC17A5,4.66697E-14,2.10253E-12
CD4 TCM,MHENCR,6.45191E-14,2.90116E-12
CD4 TCM,SPC24,6.81201E-14,3.05727E-12
CD4 TCM,INO80,6.95761E-14,3.11672E-12
CD4 TCM,C2orf40,7.00821E-14,3.13346E-12
CD4 TCM,POLR2C,7.77351E-14,3.46909E-12
CD4 TCM,DBH-AS1,8.54583E-14,3.80659E-12
CD4 TCM,B3GNT6,8.71855E-14,3.87624E-12
CD4 TCM,KCTD17,9.06604E-14,4.02103E-12
CD4 TCM,NUDT16L1,9.07816E-14,4.02103E-12
CD4 TCM,LRRC37A,9.41632E-14,4.16303E-12
CD4 TCM,IL17RE,9.5409E-14,4.21025E-12
CD4 TCM,USP27X-AS1,1.12791E-13,4.96805E-12
CD4 TCM,PEX5,1.13529E-13,4.99127E-12
CD4 TCM,RHOA,1.19827E-13,5.2584E-12
CD4 TCM,WBP2,1.20885E-13,5.29504E-12
CD4 TCM,STXBP3,1.23777E-13,5.41171E-12
CD4 TCM,SRP14,1.34831E-13,5.88413E-12
CD4 TCM,TMEM242,1.61102E-13,7.01769E-12
CD4 TCM,CASP2,1.82709E-13,7.94432E-12
CD4 TCM,LAMA3,1.99728E-13,8.66843E-12
CD4 TCM,CASC4,2.01188E-13,8.71581E-12
CD4 TCM,PRKAB2,2.26389E-13,9.78966E-12
CD4 TCM,GNPNAT1,2.41121E-13,1.04077E-11
CD4 TCM,C12orf43,2.56218E-13,1.10393E-11
CD4 TCM,LINC02288,2.59858E-13,1.11758E-11
CD4 TCM,SIRT5,2.70271E-13,1.16025E-11
CD4 TCM,SOCS3,2.82482E-13,1.21048E-11
CD4 TCM,TMEM65,3.57271E-13,1.5282E-11
CD4 TCM,BUB1B,3.66081E-13,1.56307E-11
CD4 TCM,UBAC2,4.40513E-13,1.87749E-11
CD4 TCM,TUBA1B,4.63741E-13,1.97294E-11
CD4 TCM,ZFP36L1,4.74857E-13,2.01661E-11
CD4 TCM,OGA,6.07808E-13,2.57661E-11
CD4 TCM,WDR53,6.68049E-13,2.82674E-11
CD4 TCM,ADRB1,6.69199E-13,2.82674E-11
CD4 TCM,ADD3-AS1,7.33448E-13,3.09262E-11
CD4 TCM,TPTE2P6,8.07632E-13,3.39937E-11
CD4 TCM,SP100,1.0615E-12,4.45999E-11
CD4 TCM,RNF213,1.1182E-12,4.68992E-11
CD4 TCM,REX1BD,1.28637E-12,5.3857E-11
CD4 TCM,LINC02586,1.30661E-12,5.4608E-11
CD4 TCM,ZNF584,1.44839E-12,6.04271E-11
CD4 TCM,RPL7L1,1.53471E-12,6.39157E-11
CD4 TCM,FAM131A,1.93051E-12,8.02584E-11
CD4 TCM,MGC12916,2.35801E-12,9.78595E-11
CD4 TCM,BAD,2.48102E-12,1.02785E-10
CD4 TCM,ERBIN,2.56592E-12,1.06116E-10
CD4 TCM,NLE1,2.6784E-12,1.10575E-10
CD4 TCM,RNF7,2.71706E-12,1.11976E-10
CD4 TCM,CBWD1,2.87119E-12,1.18123E-10
CD4 TCM,CLEC16A,2.91661E-12,1.19783E-10
CD4 TCM,PTGER4,3.38769E-12,1.38889E-10
CD4 TCM,PPP4R4,3.53329E-12,1.44609E-10
CD4 TCM,ACP6,4.11466E-12,1.68112E-10
CD4 TCM,LOC101927472,4.59881E-12,1.8757E-10
CD4 TCM,DUSP1,5.16504E-12,2.10302E-10
CD4 TCM,RHOU,5.59862E-12,2.27565E-10
CD4 TCM,DMC1,5.83494E-12,2.36765E-10
CD4 TCM,C3orf67,5.92431E-12,2.3998E-10
CD4 TCM,BACE1,6.07522E-12,2.45673E-10
CD4 TCM,OBSCN-AS1,7.67074E-12,3.09665E-10
CD4 TCM,SAMHD1,7.85948E-12,3.16745E-10
CD4 TCM,SPEN,8.07143E-12,3.24735E-10
CD4 TCM,SMTN,8.34559E-12,3.35196E-10
CD4 TCM,ALG13,8.59189E-12,3.44504E-10
CD4 TCM,TMEM181,8.91653E-12,3.56917E-10
CD4 TCM,TRAPPC12,9.0808E-12,3.6288E-10
CD4 TCM,TMTC4,1.09608E-11,4.37268E-10
CD4 TCM,HSPA6,1.1075E-11,4.41082E-10
CD4 TCM,AARSD1,1.19883E-11,4.76657E-10
CD4 TCM,MDH1,1.26657E-11,5.02746E-10
CD4 TCM,OTOS,1.41065E-11,5.59E-10
CD4 TCM,TMEM80,1.43748E-11,5.68682E-10
CD4 TCM,CTRL,1.52269E-11,6.01387E-10
CD4 TCM,RSPH1,1.59406E-11,6.28528E-10
CD4 TCM,GRPEL2,1.67843E-11,6.60694E-10
CD4 TCM,IRF4,1.70855E-11,6.71435E-10
CD4 TCM,RGS10,1.85653E-11,7.28381E-10
CD4 TCM,VSX2,1.88172E-11,7.37043E-10
CD4 TCM,PTGFRN,1.93578E-11,7.56968E-10
CD4 TCM,SPOUT1,2.18832E-11,8.54312E-10
CD4 TCM,TPD52,2.28559E-11,8.90815E-10
CD4 TCM,TPO,2.32839E-11,9.06006E-10
CD4 TCM,ATP9B,2.42881E-11,9.43533E-10
CD4 TCM,MKNK1,2.43435E-11,9.44139E-10
CD4 TCM,LMNB1,2.61167E-11,1.01125E-09
CD4 TCM,ACAP1,2.71268E-11,1.04865E-09
CD4 TCM,ZBED5-AS1,2.9529E-11,1.13966E-09
CD4 TCM,METTL1,3.17389E-11,1.22296E-09
CD4 TCM,PANK3,4.04918E-11,1.5557E-09
CD4 TCM,BRD4,4.05058E-11,1.5557E-09
CD4 TCM,CMTR1,4.11735E-11,1.57878E-09
CD4 TCM,RCAN3,4.30475E-11,1.64797E-09
CD4 TCM,LINC02273,4.3702E-11,1.67033E-09
CD4 TCM,LOC102723885,4.52432E-11,1.72646E-09
CD4 TCM,MADD,4.5345E-11,1.72756E-09
CD4 TCM,MIR613,5.02904E-11,1.91289E-09
CD4 TCM,RBM8A,5.10947E-11,1.94037E-09
CD4 TCM,ZPBP,5.41632E-11,2.05361E-09
CD4 TCM,CNPY3,6.07598E-11,2.30004E-09
CD4 TCM,MINOS1-NBL1,6.10048E-11,2.305E-09
CD4 TCM,HSPBP1,6.10853E-11,2.305E-09
CD4 TCM,ADSL,6.2554E-11,2.35666E-09
CD4 TCM,OGFOD2,6.98357E-11,2.62682E-09
CD4 TCM,LOC401442,7.83573E-11,2.94268E-09
CD4 TCM,FAM161A,8.0749E-11,3.0277E-09
CD4 TCM,ASXL2,8.14255E-11,3.04824E-09
CD4 TCM,DBR1,8.25931E-11,3.08708E-09
CD4 TCM,CACFD1,8.377E-11,3.12614E-09
CD4 TCM,C1orf194,9.04834E-11,3.37136E-09
CD4 TCM,TMEM130,9.27854E-11,3.4517E-09
CD4 TCM,CDYL,9.95741E-11,3.69845E-09
CD4 TCM,ZNF704,1.0721E-10,3.97581E-09
CD4 TCM,TGFBR3,1.09911E-10,4.06962E-09
CD4 TCM,IL23A,1.11504E-10,4.12215E-09
CD4 TCM,SIPA1L1,1.11946E-10,4.13206E-09
CD4 TCM,LINC02520,1.23571E-10,4.55404E-09
CD4 TCM,GCNT1,1.24489E-10,4.58078E-09
CD4 TCM,EHD4,1.25953E-10,4.62744E-09
CD4 TCM,KRT33A,1.26588E-10,4.6436E-09
CD4 TCM,TTF1,1.33928E-10,4.90523E-09
CD4 TCM,MIR5194,1.37927E-10,5.04392E-09
CD4 TCM,RABGAP1L,1.38327E-10,5.05073E-09
CD4 TCM,PDE3B,1.48517E-10,5.41448E-09
CD4 TCM,IFNAR1,1.49473E-10,5.44094E-09
CD4 TCM,PIAS4,1.53291E-10,5.57138E-09
CD4 TCM,NFRKB,1.54221E-10,5.59658E-09
CD4 TCM,KPNB1,1.75363E-10,6.35408E-09
CD4 TCM,DNPH1,1.90986E-10,6.90961E-09
CD4 TCM,ZACN,2.00474E-10,7.24182E-09
CD4 TCM,CFAP298,2.09245E-10,7.54186E-09
CD4 TCM,NDUFC1,2.09416E-10,7.54186E-09
CD4 TCM,ZC3H13,2.2077E-10,7.92665E-09
CD4 TCM,VCPKMT,2.2077E-10,7.92665E-09
CD4 TCM,SETDB1,2.41547E-10,8.6595E-09
CD4 TCM,CD320,2.48855E-10,8.90803E-09
CD4 TCM,STX1A,2.59678E-10,9.28142E-09
CD4 TCM,FAM71B,2.66397E-10,9.50725E-09
CD4 TCM,RIMKLB,3.02172E-10,1.07678E-08
CD4 TCM,RABGEF1,3.17081E-10,1.12821E-08
CD4 TCM,HLA-F,3.2565E-10,1.15696E-08
CD4 TCM,AJM1,3.27985E-10,1.16351E-08
CD4 TCM,RASA3,3.45846E-10,1.22504E-08
CD4 TCM,RNU5B-1,3.57903E-10,1.26585E-08
CD4 TCM,TBC1D2B,3.66544E-10,1.29449E-08
CD4 TCM,PPT1,3.70107E-10,1.30512E-08
CD4 TCM,REEP5,3.8248E-10,1.34675E-08
CD4 TCM,NAA15,3.90382E-10,1.37253E-08
CD4 TCM,BHLHE40-AS1,4.19297E-10,1.47201E-08
CD4 TCM,ZBTB20,4.33254E-10,1.51876E-08
CD4 TCM,LINC02568,4.35882E-10,1.52572E-08
CD4 TCM,STK4,4.6026E-10,1.60867E-08
CD4 TCM,IL17REL,4.64524E-10,1.62118E-08
CD4 TCM,ZNF33A,4.69527E-10,1.63623E-08
CD4 TCM,PLEKHO1,5.58571E-10,1.94368E-08
CD4 TCM,CMTM1,6.77791E-10,2.35508E-08
CD4 TCM,TRMO,7.19865E-10,2.49761E-08
CD4 TCM,SCML4,7.56459E-10,2.62073E-08
CD4 TCM,PRKCSH,7.63105E-10,2.6399E-08
CD4 TCM,NUP210,7.71979E-10,2.6667E-08
CD4 TCM,MED9,8.1468E-10,2.81011E-08
CD4 TCM,C5orf67,8.2715E-10,2.84898E-08
CD4 TCM,RAC2,8.62965E-10,2.9646E-08
CD4 TCM,TMEM45B,8.63884E-10,2.9646E-08
CD4 TCM,PPARD,8.64473E-10,2.9646E-08
CD4 TCM,FBXW11,8.986E-10,3.07718E-08
CD4 TCM,PRPF38A,1.00962E-09,3.45237E-08
CD4 TCM,DOLPP1,1.04822E-09,3.57921E-08
CD4 TCM,PPIE,1.05036E-09,3.58134E-08
CD4 TCM,AKT2,1.12471E-09,3.82933E-08
CD4 TCM,PRDM1,1.12814E-09,3.8355E-08
CD4 TCM,SRC,1.13322E-09,3.84726E-08
CD4 TCM,MORC3,1.1729E-09,3.97628E-08
CD4 TCM,CD244,1.18303E-09,4.00401E-08
CD4 TCM,TIMM10,1.18573E-09,4.00401E-08
CD4 TCM,SURF6,1.18615E-09,4.00401E-08
CD4 TCM,HIVEP3,1.25665E-09,4.23597E-08
CD4 TCM,CAT,1.2721E-09,4.28196E-08
CD4 TCM,LIF,1.39945E-09,4.70393E-08
CD4 TCM,PLEKHF2,1.47015E-09,4.93459E-08
CD4 TCM,CD52,1.48237E-09,4.96857E-08
CD4 TCM,PSME3,1.48886E-09,4.98328E-08
CD4 TCM,ANKRD40,1.55756E-09,5.20586E-08
CD4 TCM,HLCS,1.59702E-09,5.33023E-08
CD4 TCM,TBXAS1,1.72263E-09,5.74137E-08
CD4 TCM,STXBP1,1.72562E-09,5.74326E-08
CD4 TCM,CNTRL,1.76881E-09,5.87874E-08
CD4 TCM,LINC01987,1.81865E-09,6.03592E-08
CD4 TCM,DNAJB12,1.89113E-09,6.2677E-08
CD4 TCM,GRIN2C,1.93606E-09,6.40765E-08
CD4 TCM,MIR4300,1.97722E-09,6.53476E-08
CD4 TCM,TEDC1,2.06541E-09,6.8167E-08
CD4 TCM,ING1,2.27608E-09,7.50156E-08
CD4 TCM,ZBTB7B,2.38065E-09,7.83532E-08
CD4 TCM,STARD13,2.65994E-09,8.7424E-08
CD4 TCM,MIR4316,2.69699E-09,8.85187E-08
CD4 TCM,RECK,2.91737E-09,9.56194E-08
CD4 TCM,FAM50B,2.93336E-09,9.60108E-08
CD4 TCM,PLEKHO2,2.97299E-09,9.71738E-08
CD4 TCM,MIR4736,3.21679E-09,1.04998E-07
CD4 TCM,GLO1,3.25224E-09,1.06009E-07
CD4 TCM,MAP3K13,3.29494E-09,1.07253E-07
CD4 TCM,HLF,3.39876E-09,1.10481E-07
CD4 TCM,LOC100129175,3.67323E-09,1.19239E-07
CD4 TCM,ZNF837,3.98755E-09,1.29265E-07
CD4 TCM,DUS3L,4.09757E-09,1.3265E-07
CD4 TCM,AGO2,4.24499E-09,1.37235E-07
CD4 TCM,ANXA2R,4.39252E-09,1.41811E-07
CD4 TCM,IER5,4.42439E-09,1.42646E-07
CD4 TCM,SCAP,4.72143E-09,1.52016E-07
CD4 TCM,MIR6855,5.09294E-09,1.63755E-07
CD4 TCM,GLIPR1,5.13681E-09,1.64942E-07
CD4 TCM,LDLRAD4-AS1,5.18767E-09,1.66349E-07
CD4 TCM,SASH3,5.38003E-09,1.72285E-07
CD4 TCM,LOC389247,5.61964E-09,1.79715E-07
CD4 TCM,YWHAQ,5.82232E-09,1.85945E-07
CD4 TCM,ZRSR2,6.05979E-09,1.93269E-07
CD4 TCM,C14orf177,6.41237E-09,2.04239E-07
CD4 TCM,NUDT14,6.61356E-09,2.10364E-07
CD4 TCM,UCA1,6.64056E-09,2.1094E-07
CD4 TCM,ACSF3,7.1202E-09,2.25873E-07
CD4 TCM,SUSD1,7.62238E-09,2.41481E-07
CD4 TCM,MALSU1,7.7397E-09,2.4487E-07
CD4 TCM,SMC2-AS1,7.93109E-09,2.50591E-07
CD4 TCM,CALCA,8.29084E-09,2.61609E-07
CD4 TCM,CEACAM21,8.61737E-09,2.7155E-07
CD4 TCM,TADA1,8.7909E-09,2.76651E-07
CD4 TCM,FHOD1,9.78303E-09,3.07465E-07
CD4 TCM,ITPK1,1.02145E-08,3.206E-07
CD4 TCM,WBP1,1.02491E-08,3.21261E-07
CD4 TCM,IKZF1,1.04635E-08,3.27369E-07
CD4 TCM,OR4E2,1.04716E-08,3.27369E-07
CD4 TCM,GIMAP7,1.0931E-08,3.41282E-07
CD4 TCM,PQLC1,1.19597E-08,3.72908E-07
CD4 TCM,FAM83G,1.21152E-08,3.77258E-07
CD4 TCM,PPP2R5C,1.23279E-08,3.8338E-07
CD4 TCM,RNF19A,1.40362E-08,4.35931E-07
CD4 TCM,MIR7155,1.41043E-08,4.37397E-07
CD4 TCM,TLCD1,1.41203E-08,4.37397E-07
CD4 TCM,MIR183,1.46685E-08,4.53785E-07
CD4 TCM,MPP7,1.53537E-08,4.74364E-07
CD4 TCM,ZNF41,1.63869E-08,5.05625E-07
CD4 TCM,MIR4499,1.69565E-08,5.2252E-07
CD4 TCM,TSSK3,1.75042E-08,5.38697E-07
CD4 TCM,CDHR2,1.8564E-08,5.70572E-07
CD4 TCM,PCBP1,1.86886E-08,5.73658E-07
CD4 TCM,NFKB1,1.87377E-08,5.74422E-07
CD4 TCM,CCR7,1.89971E-08,5.81622E-07
CD4 TCM,OPALIN,2.02491E-08,6.18355E-07
CD4 TCM,NR0B1,2.02491E-08,6.18355E-07
CD4 TCM,ARHGDIB,2.11723E-08,6.45713E-07
CD4 TCM,C6orf222,2.12922E-08,6.48536E-07
CD4 TCM,LOC101927914,2.16543E-08,6.58718E-07
CD4 TCM,MIR1825,2.28108E-08,6.9301E-07
CD4 TCM,LYNX1,2.7342E-08,8.29606E-07
CD4 TCM,MAB21L3,2.78681E-08,8.44489E-07
CD4 TCM,ZNF419,3.08139E-08,9.32563E-07
CD4 TCM,COQ9,3.31698E-08,1.00258E-06
CD4 TCM,CDK5RAP1,3.37649E-08,1.01927E-06
CD4 TCM,LRP11,3.44625E-08,1.03901E-06
CD4 TCM,IL2RG,3.69593E-08,1.11287E-06
CD4 TCM,TSPAN5,3.79576E-08,1.14147E-06
CD4 TCM,MYCBP,3.88002E-08,1.16533E-06
CD4 TCM,TUBB,4.08973E-08,1.22676E-06
CD4 TCM,FBXL12,4.09498E-08,1.22679E-06
CD4 TCM,ARNTL,4.21533E-08,1.25996E-06
CD4 TCM,VAV1,4.21635E-08,1.25996E-06
CD4 TCM,ZBTB44,4.36353E-08,1.3023E-06
CD4 TCM,PNRC1,4.38642E-08,1.30748E-06
CD4 TCM,DGKD,4.4007E-08,1.31009E-06
CD4 TCM,MED21,5.08819E-08,1.51286E-06
CD4 TCM,SSR2,5.46536E-08,1.62297E-06
CD4 TCM,LINC00598,5.48693E-08,1.62733E-06
CD4 TCM,STRN4,5.5069E-08,1.63121E-06
CD4 TCM,RABAC1,6.23651E-08,1.84503E-06
CD4 TCM,SKAP1,6.24788E-08,1.84609E-06
CD4 TCM,S100A11,6.31851E-08,1.86463E-06
CD4 TCM,CPT2,6.66771E-08,1.96036E-06
CD4 TCM,IFT81,6.66771E-08,1.96036E-06
CD4 TCM,MRPL39,6.66771E-08,1.96036E-06
CD4 TCM,AFG3L2,7.00443E-08,2.0568E-06
CD4 TCM,TMSB10,7.08522E-08,2.07795E-06
CD4 TCM,STARD7-AS1,7.12152E-08,2.08602E-06
CD4 TCM,MSI2,7.30718E-08,2.13776E-06
CD4 TCM,MFGE8,7.40267E-08,2.16302E-06
CD4 TCM,RASGEF1A,7.71073E-08,2.25026E-06
CD4 TCM,SNORA31,7.7906E-08,2.27077E-06
CD4 TCM,SGSM3,8.08045E-08,2.35236E-06
CD4 TCM,ARCN1,8.66493E-08,2.51942E-06
CD4 TCM,LINC01144,9.10766E-08,2.64491E-06
CD4 TCM,HSPH1,9.15792E-08,2.65624E-06
CD4 TCM,MIR4671,9.29231E-08,2.69193E-06
CD4 TCM,LOC256880,1.00093E-07,2.89609E-06
CD4 TCM,BNIP2,1.01915E-07,2.94522E-06
CD4 TCM,FRMD4A,1.02485E-07,2.95807E-06
CD4 TCM,SLC25A37,1.03902E-07,2.99535E-06
CD4 TCM,PITPNM2,1.04678E-07,3.01403E-06
CD4 TCM,SETD2,1.10164E-07,3.16816E-06
CD4 TCM,RPTOR,1.10657E-07,3.17848E-06
CD4 TCM,PIK3R6,1.12353E-07,3.22327E-06
CD4 TCM,PDXP,1.13429E-07,3.25023E-06
CD4 TCM,CMTM8,1.15603E-07,3.30851E-06
CD4 TCM,XYLT1,1.19558E-07,3.41758E-06
CD4 TCM,F11R,1.20826E-07,3.44966E-06
CD4 TCM,FAM160A1,1.27078E-07,3.61942E-06
CD4 TCM,CXorf40A,1.27078E-07,3.61942E-06
CD4 TCM,FAM111A,1.27751E-07,3.63422E-06
CD4 TCM,DHX34,1.32099E-07,3.75341E-06
CD4 TCM,CCDC134,1.36503E-07,3.8739E-06
CD4 TCM,UBE2V1,1.386E-07,3.92872E-06
CD4 TCM,HMCES,1.39337E-07,3.94488E-06
CD4 TCM,NRON,1.42019E-07,4.01601E-06
CD4 TCM,CTDSPL2,1.50269E-07,4.24426E-06
CD4 TCM,PRPS1,1.5402E-07,4.34501E-06
CD4 TCM,DFFB,1.59779E-07,4.49678E-06
CD4 TCM,RPF2,1.59779E-07,4.49678E-06
CD4 TCM,DUSP16,1.69806E-07,4.77329E-06
CD4 TCM,CALU,1.7289E-07,4.85423E-06
CD4 TCM,PLEKHA2,1.75172E-07,4.91248E-06
CD4 TCM,KSR1,1.80776E-07,5.06366E-06
CD4 TCM,SLCO4A1,1.89108E-07,5.28656E-06
CD4 TCM,MICB,1.8918E-07,5.28656E-06
CD4 TCM,TTLL6,1.97773E-07,5.52016E-06
CD4 TCM,PC,1.99633E-07,5.56553E-06
CD4 TCM,LOC100128239,2.01466E-07,5.61003E-06
CD4 TCM,SGK1,2.36562E-07,6.57501E-06
CD4 TCM,HYAL2,2.36675E-07,6.57501E-06
CD4 TCM,GPR89A,2.38578E-07,6.60465E-06
CD4 TCM,UBR2,2.38578E-07,6.60465E-06
CD4 TCM,SCARNA14,2.38578E-07,6.60465E-06
CD4 TCM,UCP2,2.55824E-07,7.07383E-06
CD4 TCM,TCTN2,2.58514E-07,7.13987E-06
CD4 TCM,RPL23,2.91892E-07,8.05234E-06
CD4 TCM,ERG28,2.99256E-07,8.24589E-06
CD4 TCM,ECH1,3.06242E-07,8.4286E-06
CD4 TCM,CNIH4,3.07456E-07,8.4522E-06
CD4 TCM,HSPA9,3.15939E-07,8.67532E-06
CD4 TCM,GPR150,3.21377E-07,8.80088E-06
CD4 TCM,ZNF213-AS1,3.21509E-07,8.80088E-06
CD4 TCM,TAF5,3.21625E-07,8.80088E-06
CD4 TCM,FAM208A,3.30281E-07,9.02731E-06
CD4 TCM,AQP7,3.33634E-07,9.10845E-06
CD4 TCM,DYRK3,3.60894E-07,9.84132E-06
CD4 TCM,ZFAT,3.88638E-07,1.05757E-05
CD4 TCM,MIR2276,3.88717E-07,1.05757E-05
CD4 TCM,SLC17A7,3.89837E-07,1.0594E-05
CD4 TCM,WDR26,4.18722E-07,1.13575E-05
CD4 TCM,ANKDD1A,4.18891E-07,1.13575E-05
CD4 TCM,HPS4,4.28357E-07,1.16009E-05
CD4 TCM,GKAP1,4.41372E-07,1.19397E-05
CD4 TCM,BRIP1,4.53727E-07,1.226E-05
CD4 TCM,LTA,4.56976E-07,1.23337E-05
CD4 TCM,IPO13,4.59965E-07,1.24002E-05
CD4 TCM,TTLL11,4.67139E-07,1.25793E-05
CD4 TCM,MIR511,5.11066E-07,1.37466E-05
CD4 TCM,PNOC,5.26019E-07,1.41327E-05
CD4 TCM,PCNX1,5.27433E-07,1.41547E-05
CD4 TCM,LOC101929698,5.54248E-07,1.48575E-05
CD4 TCM,MIR625,5.63403E-07,1.50858E-05
CD4 TCM,SMAD3,5.68955E-07,1.52173E-05
CD4 TCM,ANKRD60,5.69888E-07,1.52251E-05
CD4 TCM,LARS2,5.77298E-07,1.54057E-05
CD4 TCM,CCSER2,5.98344E-07,1.59493E-05
CD4 TCM,LINC01550,6.03704E-07,1.60741E-05
CD4 TCM,TRIM16,6.29677E-07,1.67469E-05
CD4 TCM,TACR2,6.35993E-07,1.68959E-05
CD4 TCM,MYO1G,6.52156E-07,1.73059E-05
CD4 TCM,ING3,6.71453E-07,1.7798E-05
CD4 TCM,ESCO2,6.93419E-07,1.83392E-05
CD4 TCM,DDX42,6.93419E-07,1.83392E-05
CD4 TCM,DCD,6.98206E-07,1.84453E-05
CD4 TCM,PPP1R7,7.13261E-07,1.8822E-05
CD4 TCM,RANBP2,7.21802E-07,1.90262E-05
CD4 TCM,HNRNPH3,7.23612E-07,1.90316E-05
CD4 TCM,UBR7,7.23612E-07,1.90316E-05
CD4 TCM,PDK3,7.73925E-07,2.03323E-05
CD4 TCM,NXN,7.76547E-07,2.03786E-05
CD4 TCM,NOM1,7.81339E-07,2.04816E-05
CD4 TCM,PHF6,8.04471E-07,2.10647E-05
CD4 TCM,GNB1,8.06566E-07,2.10962E-05
CD4 TCM,EDEM3,8.49015E-07,2.2182E-05
CD4 TCM,CATSPER4,8.74011E-07,2.281E-05
CD4 TCM,DMTN,9.00758E-07,2.34821E-05
CD4 TCM,ABT1,9.24199E-07,2.40667E-05
CD4 TCM,C1orf159,9.42171E-07,2.45078E-05
CD4 TCM,ATP6V0E2-AS1,9.95738E-07,2.58728E-05
CD4 TCM,HHLA1,1.02649E-06,2.66427E-05
CD4 TCM,GRID1,1.03113E-06,2.67337E-05
CD4 TCM,RNF216-IT1,1.05843E-06,2.74115E-05
